id,surface_form,start_pos,end_pos,type
p2818_1,Beto,705,709,PER
p2818_1,V.,711,713,PER
p2869_1,Provenza,2991,2999,PER
p2849_1,Staël,2117,2122,PER
p2882_1,Glossar,1673,1680,PER
p2882_1,Tasca,1688,1693,PER
p2876_2,Alipes,948,954,PER
p2876_2,bijugus,1715,1722,PER
p2876_2,bijugis,1725,1732,PER
p2876_2,Forcell,2725,2732,PER
p2825_1,Honorii,26,33,PER
p2825_1,natione Afer,128,140,PER
p2825_1,Evangelia,307,316,PER
p2825_1,C. Christianus Falsterus,478,502,PER
p2825_1,Mansii,723,729,PER
p2825_1,Patav.,731,737,PER
p2885_1,Veggasi,2108,2115,PER
p2865_2,Forcell.,49,57,PER
p2865_2,V.,652,654,PER
p2884_1,Venez.,642,648,PER
p2884_1,Canz.,756,761,PER
p2820_3,Veggasi,263,270,PER
p2842_1,Hymno de,252,260,PER
p2842_1,Glossar,286,293,PER
p2842_1,Frequenter,461,471,PER
p2842_1,Ioh,480,483,PER
p2842_1,de Ianua,485,493,PER
p2842_1,Gavisci,858,865,PER
p2842_1,Gavisio,879,886,PER
p2842_1,Gausida,888,895,PER
p2842_1,Gausita,918,925,PER
p2842_1,Gauzita,944,951,PER
p2842_1,Gozar,976,981,PER
p2842_1,Gozar,1138,1143,PER
p2842_1,detraho,2000,2007,PER
p2842_1,gradior,2260,2267,PER
p2842_1,Crusca,2812,2818,PER
p2842_1,Cang.,3313,3318,PER
p2842_1,Advidere,3803,3811,PER
p2842_1,Hickesio,4656,4664,PER
p2879_2,paonessa,1407,1415,PER
p2841_1,Dissimulatus,130,142,PER
p2841_1,Placitus,660,668,PER
p2845_1,Calderon,560,568,PER
p2804_1,Tebe,2209,2213,PER
p2804_1,Ella,2332,2336,PER
p2995_1,Crusca,402,408,PER
p2974_3,Ructus,277,283,PER
p2930_2,Forcell,64,71,PER
p2930_2,Pistum,85,91,PER
p2919_2,Astii,292,297,PER
p2919_2,Lips.,299,304,PER
p2919_2,Sofista,810,817,PER
p2919_2,Crusca,3890,3896,PER
p2919_2,Volere,3898,3904,PER
p2925_2,Crusca,293,299,PER
p2925_2,Crusca,570,576,PER
p2925_2,V. Forcell,800,810,PER
p2974_1,Urito,9,14,PER
p2996_1,V. Forcell,764,774,PER
p2996_1,V.,1124,1126,PER
p2996_1,Aucupo,1676,1682,PER
p2996_1,Nuncupo,1733,1740,PER
p2996_1,Opitulo,2019,2026,PER
p2996_1,Forcell,2125,2132,PER
p2996_1,Forcell,2228,2235,PER
p2998_3,V. Forc,300,307,PER
p2981_1,Messiade,425,433,PER
p2935_1,Pisare,9,15,PER
p2930_1,Pinso,9,14,PER
p2930_1,Pistatus,221,229,PER
p2930_1,Pisto,364,369,PER
p2930_1,Forcell,584,591,PER
p2914_1,Pongasi,590,597,PER
p2982_1,Iliade,678,684,PER
p2967_1,Dio,1116,1119,PER
p2967_1,Dio,1422,1425,PER
p2906_1,Ester,112,117,PER
p2991_1,Quaeso,341,347,PER
p2991_1,Forcell,497,504,PER
p2991_1,Haesum,1527,1533,PER
p2991_1,Forcell,1685,1692,PER
p2991_1,Haereo,1694,1700,PER
p2923_3,Terentia,471,479,PER
p2923_3,Forcell,561,568,PER
p2903_2,Lucrifacere,725,736,PER
p2903_2,Benefacere,738,748,PER
p2903_2,Ludifacere,772,782,PER
p2903_2,Ludificare,785,795,PER
p2903_2,Soupçonner,1555,1565,PER
p2903_2,Suspico,1620,1627,PER
p2928_2,Similm,173,179,PER
p2928_2,V. Forc,765,772,PER
p2928_2,Figo,1825,1829,PER
p2977_1,Eneide,1166,1172,PER
p2977_1,Chateaubriand,1557,1570,PER
p2977_1,Génie,1572,1577,PER
p2977_1,Chateaubriand.,3439,3453,PER
p2926_1,Forcell,77,84,PER
p2987_1,Bastian Borrego,246,261,PER
p2987_3,Dio,1245,1248,PER
p2918_1,Rapto,889,894,PER
p2918_1,avv,979,982,PER
p2995_2,Grammat,58,65,PER
p2983_2,Crivello,98,106,PER
p2983_2,Crusca,517,523,PER
p2983_2,Vieux,811,816,PER
p2976_1,Notisi,699,705,PER
p2932_1,Pistus,9,15,PER
p2932_1,Veggasi,21,28,PER
p2932_1,Forcell,408,415,PER
p2932_1,Forcell,896,903,PER
p2932_1,R. R.,1879,1884,PER
p2932_1,Pisatio,1942,1949,PER
