surface,wd_id,par_id
Asia,Q48,p264_1
Siracusa,Q13670,p509_2
Bologna,Q1891,p4148_12
Lucca,Q13373,p683_1
Firenze,Q2044,p25_1
Fir.,Q2044,p25_1
europa,Q46,p3816_5
Svezia,Q34,p3816_5
Russia,Q159,p3816_5
Alemagna,Q183,p3816_5
europa,Q46,p3816_5
Prussia,Q38872,p3816_5
europa,Q46,p3066_1
italia,Q38,p3066_1
Ven.,Q641,p3066_1
Ven.,Q641,p3066_1
Torino,Q495,p3066_1
Ven.,Q641,p3066_1
Francia,Q142,p3066_1
Francia,Q142,p3066_1
Vienna,Q1741,p3066_1
Germania,Q183,p3066_1
Polonia,Q36,p3066_1
Francia,Q142,p3066_1
Italia,Q38,p3066_1
europa,Q46,p3066_1
Francia,Q142,p3066_1
Egitto,Q11768,p340_1
grecia,Q11772,p993_1
magna grecia,Q184313,p993_1
Sicilia,Q1460,p993_1
Gallie,Q38060,p993_1
inghilterra,Q21,p993_1
Scozia,Q22,p993_1
Olanda,Q55,p993_1
Firenze,Q2044,p993_1
roma,Q1747689,p993_1
italia,Q38,p993_1
grecia,Q11772,p993_1
grecia,Q11772,p993_1
india,Q668,p993_1
Grecia,Q11772,p2139_1
Lazio,Q1048669,p2139_1
Amsterd.,Q727,p4491_2
Sparta,Q5690,p1170_1
Grecia,Q11772,p1170_1
Gerusalemme,Q1218,p150_2
europa,Q46,p4413_1
Lips.,Q2079,p2919_2
Recanati,Q83362,p4227_5
Bologna,Q1891,p4183_1
Argos,Q189901,p2675_2
Mycènes,Q132564,p2675_2
Fir.,Q2044,p2675_2
Marca,Q1279,p2809_1
Torino,Q495,p2809_1
Venez.,Q641,p2809_1
Venez.,Q641,p2809_1
Ven.,Q641,p2809_1
europa,Q46,p109_4
Friburgo,Q2833,p4025_4
Rome,Q220,p2012_1
Bolog.,Q1891,p4218_4
Bologna,Q1891,p4163_9
Grecia,Q11772,p3641_1
Roma,Q1747689,p3641_1
roma,Q1747689,p1363_2
France,Q142,p31_2
Francia,Q142,p31_2
Rome,Q1747689,p4453_1
Sámnio,Q105706880,p4453_1
Roma,Q1747689,p4157_2
Roma,Q220,p4157_2
Italia,Q38,p4157_2
Bologna,Q1891,p4157_2
Ven.,Q641,p4246_1
Toscana,Q1273,p4287_3
Lips.,Q2079,p3170_1
inghilterra,Q21,p172_1
Parigi,Q90,p1654_1
Venez.,Q641,p1654_1
Inghilterra,Q21,p4334_1
Ven.,Q641,p4090_1
Bassano,Q47094,p1424_1
Milano,Q490,p2682_1
Roma,Q220,p2682_1
Rom.,Q220,p4308_2
Bologna,Q1891,p4151_12
italia,Q38,p3964_3
italia,Q38,p3964_3
grecia,Q11772,p3964_3
italia,Q38,p3964_3
grecia,Q11772,p3964_3
italia,Q38,p3964_3
Atene,Q844930,p3964_3
italia,Q38,p2126_1
italia,Q38,p2126_1
Grecia,Q11772,p2126_1
italia,Q38,p2126_1
Agnano,Q3413605,p4285_4
Firenze,Q2044,p4285_4
Friburgo,Q2833,p4016_2
recanati,Q83362,p4120_14
europa,Q46,p1077_1
europa,Q46,p1077_1
italia,Q38,p1077_1
italia,Q38,p1077_1
Roma,Q1747689,p4190_6
Bologna,Q1891,p4190_6
Ravenna,Q13364,p4190_6
Pisa,Q13375,p4302_3
Ginevra,Q71,p4234_3
europa,Q46,p4234_3
Ginevra,Q71,p4234_3
Italie,Q38,p4234_3
Italia,Q38,p4234_3
Francia,Q142,p4234_3
Milano,Q490,p1350_1
Italiam,Q38,p3744_2
grecia,Q11772,p3041_1
grecia,Q11772,p3041_1
Atene,Q844930,p3041_1
grecia,Q11772,p3041_1
Atene,Q844930,p3041_1
Lisbonne,Q597,p4374_2
grecia,Q11772,p983_1
Paris,Q90,p983_1
Grecia,Q11772,p983_1
Costantinopoli,Q16869,p983_1
Francia,Q142,p324_1
italia,Q38,p324_1
Pisa,Q13375,p4307_1
Paris,Q90,p4127_9
Romam,Q220,p495_1
troia,Q22647,p3117_1
Francof.,Q1794,p4441_1
Tigur.,Q72,p4441_1
italia,Q38,p725_1
impero latino,Q2277,p2735_1
Lazio,Q1048669,p3251_1
Roma,Q220,p3251_1
italia,Q38,p3251_1
America,Q828,p3251_1
italia,Q38,p3251_1
Spagna,Q29,p3251_1
Firenze,Q2044,p4414_4
Bassano,Q47094,p205_2
Fir.,Q2044,p4309_4
Francia,Q142,p4423_2
Germania,Q183,p4423_2
grecia,Q11772,p2267_1
Κατάνη,Q1903,p4209_2
Bologna,Q1891,p4209_2
Grecia,Q11772,p4209_2
Constantinopoli,Q16869,p2731_2
impero,Q2277,p2731_2
grecia,Q11772,p2731_2
grecia,Q11772,p2731_2
Francia,Q142,p850_1
grecia,Q11772,p2329_1
Lazio,Q1048669,p2329_1
Lazio,Q1048669,p2329_1
Grecia,Q11772,p2329_1
Lazio,Q1048669,p2329_1
Lips.,Q2079,p4450_2
francia,Q142,p2465_1
Patav.,Q617,p1276_2
grecia,Q11772,p2060_1
grecia,Q11772,p2060_1
grecia,Q11772,p2060_1
Atene,Q844930,p2060_1
Atene,Q844930,p2060_1
Atene,Q844930,p2060_1
Gallie,Q38060,p1015_1
Marsiglia,Q23482,p1015_1
Gallie,Q38060,p1015_1
Firenze,Q2044,p4330_4
Vienna,Q1741,p24_2
Grecia,Q11772,p1848_1
Egitto,Q11768,p1848_1
India,Q668,p1848_1
L'Oriente,Q205653,p1848_1
grecia,Q11772,p1848_1
Grecia,Q11772,p1848_1
Palestina,Q23792,p1848_1
Asia,Q48,p1848_1
Affrica,Q15,p1848_1
europa,Q46,p1848_1
France,Q142,p4378_1
Paris,Q90,p4378_1
Troie,Q22647,p4378_1
Venezia,Q641,p2515_1
Toscana,Q1273,p2515_1
italia,Q38,p2515_1
Firenze,Q2044,p2515_1
Troie,Q22647,p4314_1
Troia,Q22647,p4314_1
Madrid,Q2807,p4087_4
grecia,Q11772,p1068_1
Grecia,Q11772,p1068_1
Francia,Q142,p1050_3
Ven.,Q641,p3587_1
Lips.,Q2079,p3587_1
Lips.,Q2079,p3587_1
Ven.,Q641,p3587_1
Italia,Q38,p8_3
Francia,Q142,p1045_2
inghilterra,Q21,p1045_2
europa,Q46,p1045_2
europa,Q46,p1045_2
Francia,Q142,p1045_2
Bolog.,Q1891,p4214_3
Graeciam,Q11772,p4400_2
Halicarnassi,Q5843680,p4400_2
Athenis,Q844930,p4400_2
Athenis,Q844930,p4400_2
Ven.,Q641,p3682_1
Roma,Q220,p2662_1
Grecia,Q11772,p1366_1
ispagna,Q29,p2657_1
Napoli,Q2634,p4302_4
Pisa,Q13375,p4302_4
Colonia,Q365,p34_1
Paris,Q90,p4149_2
Bologna,Q1891,p4149_2
Trojam,Q22647,p4379_1
Mycenarum,Q132564,p4379_1
Graeciae,Q11772,p4379_1
Asia,Q48,p4379_1
Firenze,Q2044,p4379_1
Padova,Q617,p3998_2
Londra,Q84,p4050_5
Venezia,Q641,p4050_5
italia,Q38,p2513_1
Bologna,Q1891,p4188_7
Roma,Q1747689,p1024_1
italia,Q38,p1024_1
Bologna,Q1891,p4144_2
Oxon.,Q34217,p4162_5
Bologna,Q1891,p4162_5
Roma,Q1747689,p4444_1
Veii,Q677935,p4444_1
Roma,Q1747689,p4444_1
Rome,Q1747689,p4444_1
Londres,Q84,p4362_3
Troie,Q22647,p4405_2
Paris,Q90,p4405_2
inghilterra,Q21,p1351_1
Germania,Q183,p1351_1
Germania,Q183,p1351_1
inghilterra,Q21,p1351_1
Bologna,Q1891,p4153_5
Venezia,Q641,p805_1
Milano,Q490,p805_1
Lips.,Q2079,p2672_3
Roma,Q220,p2672_3
spagna,Q29,p3584_1
italia,Q38,p3630_1
europa,Q46,p4102_5
america,Q828,p4102_5
Indostan,Q853968,p928_2
Milano,Q490,p928_2
India,Q668,p928_2
India,Q668,p928_2
europa,Q46,p3214_1
europa,Q46,p3214_1
europa,Q46,p3214_1
grecia,Q11772,p3214_1
Manhem.,Q2119,p494_2
Roma,Q1747689,p494_2
Roma,Q1747689,p494_2
Bologna,Q1891,p4143_3
Grecia,Q11772,p1338_2
Anvers,Q12892,p3430_2
italia,Q38,p3325_1
Italia,Q38,p4516_2
italia,Q38,p392_1
Paris,Q90,p4295_1
Firenze,Q2044,p4295_1
Svezia,Q34,p4494_1
Stralsund,Q4065,p4494_1
Londr.,Q84,p4494_1
Rome,Q1747689,p4442_6
Rome,Q1747689,p4442_6
Toscana,Q1273,p4442_6
rom.,Q220,p4158_1
Bologna,Q1891,p4158_1
grecia,Q11772,p996_1
italia,Q38,p996_1
grecia,Q11772,p996_1
impero greco,Q2497438,p996_1
italia,Q38,p996_1
impero greco,Q2497438,p996_1
grecia,Q11772,p996_1
Troia,Q22647,p4269_2
Ven.,Q641,p2731_1
italia,Q38,p697_1
europa,Q46,p697_1
italia,Q38,p697_1
Lips.,Q2079,p3988_2
Corsicam,Q14112,p4454_1
Greece,Q41,p4454_1
Francia,Q142,p1840_1
Grecia,Q11772,p1840_1
Kehll,Q15979,p338_1
Firenze,Q2044,p4416_1
Asia,Q48,p4399_4
Paris,Q90,p4399_4
Recanati,Q83362,p4234_5
Grenoble,Q1289,p4376_1
Amsterd.,Q727,p51_3
Ispagna,Q29,p1760_1
Ispagna,Q29,p1760_1
Milano,Q490,p1760_1
Venezia,Q641,p112_1
Friburgo,Q2833,p4255_1
India,Q668,p4294_4
Firenze,Q2044,p4294_4
Athènes,Q844930,p4147_6
Grèce,Q11772,p4147_6
Paris,Q90,p4147_6
Bologna,Q1891,p4147_6
Roma,Q220,p4524_8
Friburgo,Q2833,p4255_5
Italia,Q38,p2705_1
italia,Q38,p1678_1
grecia,Q11772,p4076_3
Roma,Q1747689,p4076_3
Francia,Q142,p2914_1
Lucca,Q13373,p4119_7
italia,Q38,p1144_1
Recanati,Q83362,p2693_1
Italia,Q38,p4241_5
Roma,Q220,p4241_5
Recanati,Q83362,p4241_5
Sempione,Q3694633,p4241_5
mezzogiorno d'Italia,Q207989,p4241_5
Francia,Q142,p2065_1
Roma,Q1747689,p2065_1
Scandinavie,Q21195,p4406_2
Finlande,Q33,p4406_2
Paris,Q90,p4406_2
italia,Q38,p3762_3
Piemonte,Q1216,p3762_3
Lombardia,Q1210,p3762_3
Venezia,Q641,p3762_3
Lombardia,Q1210,p3762_3
Veneziano,Q641,p3762_3
italia,Q38,p3762_3
Roma,Q220,p3762_3
italia,Q38,p3762_3
Firenze,Q2044,p4290_1
Azio,Q216551,p2322_2
Atene,Q844930,p2322_2
Maratona,Q212150,p2322_2
Salamina,Q202422,p2322_2
Atene,Q844930,p2322_2
Roma,Q1747689,p2322_2
Firenze,Q2044,p4368_2
Napoli,Q2634,p4368_2
rom.,Q220,p4308_1
Bologna,Q1891,p4173_8
Roma,Q220,p3908_2
Avignone,Q6397,p3908_2
Prussia,Q38872,p3884_1
Rémusberg,Q537268,p3884_1
Paris,Q90,p942_1
Paris,Q90,p942_1
grecia,Q11772,p3991_2
Cambrai,Q181285,p4073_1
Affrica,Q15,p4073_1
Gerusalemme,Q1218,p4073_1
Grecia,Q11772,p3638_3
Grecia,Q11772,p3638_3
Amstelaed.,Q727,p917_1
Roma,Q1747689,p917_1
Roma,Q1747689,p1012_2
Milano,Q490,p1012_2
Firenze,Q2044,p4417_5
Milan,Q490,p4104_5
Atene,Q844930,p2103_2
Roma,Q1747689,p2103_2
Atene,Q844930,p2103_2
Grecia,Q11772,p2103_2
Asia,Q48,p2103_2
Egitto,Q11768,p2103_2
Sicilia,Q1460,p2103_2
Atene,Q844930,p2103_2
Recanati,Q83362,p4281_3
Recanati,Q83362,p4281_3
Cuba,Q241,p4280_3
Grecia,Q11772,p4280_3
Recanati,Q83362,p4280_3
grecia,Q11772,p746_1
grecia,Q11772,p746_1
grecia,Q11772,p746_1
Roma,Q1747689,p746_1
Francia,Q142,p746_1
Italia,Q38,p4263_2
Baviera,Q980,p4263_2
Recanati,Q83362,p4263_2
Paris,Q90,p1482_1
Romae,Q220,p1482_1
Berlin,Q64,p4375_1
Athenis,Q844930,p4375_1
italia,Q38,p1993_2
italia,Q38,p1993_2
Bologna,Q1891,p4152_4
Sicily,Q1460,p4434_1
Bologna,Q1891,p4153_1
Bologna,Q1891,p4202_1
Italia,Q38,p4122_3
Roma,Q220,p2460_1
Parigi,Q90,p2460_1
Padova,Q617,p2460_1
Bologna,Q1891,p2460_1
Venez.,Q641,p2460_1
Venez.,Q641,p2460_1
Firenze,Q2044,p2460_1
Francia,Q142,p2460_1
Amsterdam,Q727,p203_2
Lazio,Q1048669,p3461_1
grecia,Q11772,p3461_1
grecia,Q11772,p3461_1
Lazio,Q1048669,p3461_1
Fenicia,Q41642,p3461_1
Inghilterra,Q21,p1965_1
italia,Q38,p2517_1
europa,Q46,p4144_3
Bologna,Q1891,p4144_3
Asia,Q48,p4433_3
Greece,Q41,p4433_3
Calabria,Q1458,p4433_3
Sicily,Q1460,p4433_3
Rossano,Q53952,p4433_3
Locri,Q54619,p4433_3
L'inghilterra,Q21,p1043_1
Francia,Q142,p1043_1
italia,Q38,p1043_1
italia,Q38,p1043_1
spagna,Q29,p1043_1
europa,Q46,p1043_1
Pisa,Q13375,p4200_3
Venezia,Q641,p988_2
Oxon.,Q34217,p4117_1
Asia,Q48,p4435_1
Bitinia,Q373189,p4435_1
Paflagonia,Q622032,p4435_1
italia,Q38,p700_1
italia,Q38,p700_1
italia,Q38,p700_1
Amsterdam,Q727,p4103_6
Paris,Q90,p4145_3
Roma,Q1747689,p1135_1
Italia,Q38,p1135_1
grecia,Q11772,p1135_1
Milano,Q490,p1135_1
Milano,Q490,p1086_1
Firenze,Q2044,p4298_2
Firenze,Q2044,p4298_2
Firenze,Q2044,p4298_2
Pisa,Q13375,p4298_2
Athènes,Q844930,p2669_1
Paris,Q90,p2669_1
Bologna,Q1891,p4192_1
Milan,Q490,p4103_4
Friburgo,Q2833,p4026_4
italia,Q38,p928_1
grecia,Q11772,p1095_2
palestina,Q23792,p1095_2
Sicilia,Q1460,p3491_1
Amstel.,Q727,p3491_1
impero romano,Q2277,p239_2
Svizzera,Q39,p239_2
europa,Q46,p239_2
Transilvania,Q39473,p239_2
Polonia,Q36,p239_2
Russia,Q159,p239_2
Spagna,Q29,p239_2
Francia,Q142,p239_2
Affrica Cartaginese e Numidica,Q181238,p239_2
francia,Q142,p239_2
inghilterra,Q21,p239_2
spagna,Q29,p239_2
portogallo,Q45670,p239_2
europa,Q46,p239_2
Francia,Q142,p239_2
Spagna,Q29,p239_2
europa,Q46,p239_2
italia,Q38,p239_2
Venezia,Q641,p3488_1
Ven.,Q641,p3488_1
Amstel.,Q727,p4011_1
Ven.,Q641,p3413_1
italia,Q38,p3413_1
italia,Q38,p3413_1
Pisa,Q13375,p4145_2
Roma,Q1747689,p1518_1
grecia,Q11772,p1518_1
Parigi,Q90,p1518_1
Roma,Q1747689,p1518_1
Asia,Q48,p886_1
Lugo,Q52983,p4148_1
italia,Q38,p1688_2
Francia,Q142,p1688_2
China,Q29520,p3670_1
China,Q29520,p3670_1
Parigi,Q90,p724_1
Manheim,Q2119,p3055_1
grecia,Q11772,p743_1
grecia,Q11772,p743_1
Roma,Q1747689,p608_1
Romę,Q220,p1145_1
italia,Q38,p1581_3
roma,Q1747689,p114_1
francia,Q142,p114_1
Milano,Q490,p1133_1
Bologna,Q1891,p4188_8
Venez.,Q641,p4120_20
europa,Q46,p4120_20
Ven.,Q641,p3817_1
Amst.,Q727,p4117_11
Leipzig,Q2079,p4316_1
Munich,Q1726,p4316_1
Londres,Q84,p4316_1
Londres,Q84,p4316_1
Francia,Q142,p669_1
Recanati,Q83362,p4243_8
gallie,Q38060,p1015_2
magnagrecia,Q184313,p1015_2
Sicilia,Q1460,p1015_2
Sicilia,Q1460,p1015_2
Sicilia,Q1460,p1015_2
imperio romano,Q2277,p1015_2
Roma,Q1747689,p1015_2
Gallie,Q38060,p1015_2
Roma,Q1747689,p1015_2
Firenze,Q2044,p4125_9
Milan,Q490,p4114_8
Parigi,Q90,p251_1
France,Q142,p251_1
Sonnino,Q128211,p251_1
Napoli,Q2634,p251_1
Troia,Q22647,p4330_3
Paro,Q201272,p4330_3
europa,Q46,p4261_2
Paris,Q90,p4479_2
Carthage,Q2429397,p4458_1
Ardea,Q241733,p4458_1
Roma,Q1747689,p4458_1
Rome,Q1747689,p4458_1
Venez.,Q641,p1023_1
Lips.,Q2079,p3235_2
Pisa,Q13375,p4298_3
Mil.,Q490,p2592_1
Padova,Q617,p4238_2
Bologna,Q1891,p4190_3
Roma,Q220,p2645_2
Amsterdam,Q727,p4122_4
grecia,Q11772,p915_1
Elos,Q56670610,p915_1
῞Ελος,Q56670610,p915_1
Peloponneso,Q78967,p915_1
Sicilia,Q1460,p915_1
Milano,Q490,p915_1
impero,Q2277,p990_2
Asia Minore,Q12824780,p990_2
asia,Q48,p990_2
Egitto,Q11768,p990_2
Cartagine,Q2429397,p2677_1
Fir.,Q2044,p2677_1
isola di Chio,Q160483,p2677_1
Lips.,Q2079,p3842_1
Paris,Q90,p4481_1
Bologna,Q1891,p4162_8
Firenze,Q2044,p4327_1
italia,Q38,p785_1
grecia,Q11772,p785_1
italia,Q38,p785_1
italia,Q38,p785_1
italia,Q38,p785_1
italia,Q38,p785_1
Roma,Q1747689,p785_1
Fenicia,Q41642,p1168_1
Venet.,Q641,p3961_4
America meridionale,Q18,p3961_4
Troie,Q22647,p4319_2
Athènes,Q844930,p4319_2
Roma,Q220,p4139_9
italia,Q38,p2128_1
Francia,Q142,p2128_1
Grecia,Q11772,p2128_1
Roma,Q220,p2664_3
Lips.,Q2079,p4154_2
Bologna,Q1891,p4154_2
Grecia,Q11772,p4351_2
Lazio,Q1048669,p4351_2
Tigur.,Q72,p4438_2
Lipsiae,Q2079,p4374_1
italia,Q38,p143_1
Bologna,Q1891,p4150_1
Basilea,Q78,p4152_6
Bologna,Q1891,p4152_6
Roma,Q1747689,p4450_6
Roma,Q1747689,p4450_6
Roma,Q1747689,p4450_6
Rome,Q1747689,p4450_6
Venez.,Q641,p3018_1
Rom.,Q220,p3018_1
europa,Q46,p3018_1
Paris,Q90,p4371_1
Rennes,Q647,p4371_1
Barletta,Q13470,p4371_1
Germania,Q183,p1033_3
Inghilterra,Q21,p1033_3
Polonia,Q36,p1033_3
Polonia,Q36,p1033_3
Grecia,Q11772,p1033_3
Inghilterra,Q21,p1033_3
Spagna,Q29,p1033_3
Francia,Q142,p2869_1
Provenza,Q101081,p2869_1
Francia,Q142,p2869_1
Milano,Q490,p950_3
Indostan,Q853968,p950_1
Parigi,Q90,p950_1
Milano,Q490,p950_1
Madeleine de Tresnel,Q3001643,p643_2
Firenze,Q2044,p4299_1
Firenze,Q2044,p4299_1
Atene,Q844930,p4299_1
Atene,Q844930,p4299_1
Pisa,Q13375,p4299_1
Milano,Q490,p1053_1
inghilterra,Q21,p358_2
Attica,Q122443,p2923_3
Bologna,Q1891,p4154_8
Parigi,Q90,p4078_2
Francia,Q142,p4078_2
grecia,Q11772,p4078_2
Lips.,Q2079,p3975_2
italia,Q38,p865_1
Chersoneso di Tracia,Q5092567,p4208_3
Bolog.,Q1891,p4208_3
italia,Q38,p1026_1
grecia,Q11772,p1026_1
Rom.,Q220,p2656_1
Troia,Q22647,p95_2
Bologna,Q1891,p4160_10
Basileae,Q78,p4163_5
Bologna,Q1891,p4163_5
europa,Q46,p3125_1
italia,Q38,p3125_1
italia,Q38,p3125_1
italia,Q38,p3125_1
ispagna,Q29,p3125_1
grecia,Q11772,p3125_1
impero persiano,Q389688,p3125_1
grecia,Q11772,p3125_1
italia,Q38,p3982_2
grecia,Q11772,p3982_2
italia,Q38,p3982_2
grecia,Q11772,p3982_2
grecia,Q11772,p3982_2
italia,Q38,p3982_2
grecia,Q11772,p3982_2
italia,Q38,p3982_2
Amsterd.,Q727,p80_2
Roma,Q1747689,p43_5
Bologna,Q1891,p4201_1
Madrid,Q2807,p2397_1
grecia,Q11772,p2370_1
Francia,Q142,p1086_2
Francia,Q142,p1086_2
Germania,Q183,p1671_1
europa,Q46,p1671_1
Firenze,Q2044,p683_2
Ven.,Q641,p4245_5
Friburgo,Q2833,p4042_1
europa,Q46,p3390_1
italia,Q38,p3390_1
italia,Q38,p3390_1
Ven.,Q641,p3390_1
Rom.,Q220,p4158_8
Oxon.,Q34217,p4158_8
Atene,Q844930,p4158_8
Attica,Q122443,p4158_8
Atene,Q844930,p4158_8
Mantinea,Q1160195,p4158_8
Arcadia,Q12898802,p4158_8
Bologna,Q1891,p4158_8
Éolie,Q1247568,p4319_1
Ionie,Q620874,p4319_1
Doride,Q130987,p4319_1
Bologna,Q1891,p4148_8
Milano,Q490,p4049_3
Argo,Q189901,p2676_1
Groningen,Q749,p4362_2
Atene,Q844930,p2628_1
Sparta,Q5690,p2628_1
italia,Q38,p3132_1
Milano,Q490,p4140_10
Thibet,Q17269,p4341_1
Mongolie,Q12557,p4341_1
italia,Q38,p1679_1
Basil.,Q78,p4226_3
Recanati,Q83362,p4226_3
Amsterdam,Q727,p4108_2
italia,Q38,p4471_3
Florent.,Q2044,p3918_1
Lacedemone,Q5690,p3918_1
Termopile,Q194450,p44_4
Lipsiae,Q2079,p2470_1
italia,Q38,p731_2
italia,Q38,p731_2
