id,start_pos,end_pos,surface,type,score
p4475_2,245,253,Goffredo,PER,0.9122379
p4475_2,271,274,Meg,LOC,0.45876816
p4475_2,298,303,Lusia,PER,0.517089
p4475_2,522,529,Enriade,PER,0.7295938
p1932_2,727,730,Cic,PER,0.67819697
p4004_5,98,101,For,LOC,0.68525004
p3994_2,595,597,Sc,LOC,0.29325837
p3643_1,0,2,Fu,PER,0.34542978
p4246_1,124,127,Tas,LOC,0.3511
p4246_1,218,223,Mauro,PER,0.81327975
p4246_1,254,259,##cioni,PER,0.42077878
p4246_1,299,301,Ve,PER,0.69469446
p1961_2,96,102,Scalda,PER,0.77117085
p1961_2,108,114,Andrès,PER,0.5985025
p2138_1,369,372,For,PER,0.44850084
p2138_1,655,661,Cautus,PER,0.5056738
p55_4,220,227,Arcadia,LOC,0.8809108
p4248_8,27,31,Crus,LOC,0.47425997
p1447_3,395,396,V,PER,0.599072
p1447_3,408,411,Vit,PER,0.7508511
p520_1,328,334,Romani,LOC,0.8531319
p3682_1,480,484,Lupo,PER,0.42492914
p3682_1,823,824,##i,PER,0.58535737
p3682_1,835,837,Ve,PER,0.319317
p4382_1,111,117,Pindem,PER,0.7498938
p4382_1,823,827,Sole,PER,0.6894507
p4030_5,0,8,Faventia,LOC,0.8746167
p4030_5,11,17,Faenza,LOC,0.9820244
p4030_5,39,41,Fa,LOC,0.63651603
p4030_5,75,77,Fa,LOC,0.72625196
p4030_5,100,104,Faye,LOC,0.6155886
p4030_5,112,118,Faenza,LOC,0.99037504
p4030_5,152,154,Fa,LOC,0.8488022
p4124_7,19,26,Apollon,PER,0.89838964
p943_1,288,293,Bayer,PER,0.96031106
p943_1,312,320,Fourmont,PER,0.9456715
p943_1,475,481,Annali,PER,0.7708309
p943_1,675,681,Annali,PER,0.76663685
p4030_10,162,171,Herodotus,PER,0.5399854
p2054_2,762,770,Montibus,PER,0.4007635
p4219_1,560,562,Ol,PER,0.46859846
p4219_1,850,860,Aristoteli,PER,0.93896407
p4219_1,1091,1099,Platonis,PER,0.7855351
p4219_1,1146,1154,Pindarus,PER,0.95092773
p4219_1,1258,1266,Platonis,PER,0.7638975
p4046_3,433,436,Sui,LOC,0.3278557
p4327_1,495,500,Tasso,PER,0.96391714
p1579_1,86,87,V,PER,0.9247597
p553_2,753,761,American,LOC,0.38041782
p553_2,893,899,German,LOC,0.35718724
p553_2,940,945,Celti,LOC,0.6428932
p553_2,982,989,Omerici,PER,0.55158746
p553_2,1299,1300,V,PER,0.7179108
p911_1,241,245,Ling,PER,0.4979448
p595_1,241,245,Tite,PER,0.88584673
p595_1,370,372,Ci,PER,0.33779207
p1655_2,38,40,Sc,PER,0.39037728
p4126_1,134,144,V. Forcell,PER,0.7808131
p63_4,232,239,Amadria,PER,0.6171315
p63_4,266,270,Pane,PER,0.7370284
p63_4,375,381,Naiadi,LOC,0.8326783
p4025_5,53,59,Crusca,LOC,0.61283594
p3494_1,47,50,Dei,PER,0.49536827
p3494_1,255,258,Dei,PER,0.5089655
p3494_1,441,444,Dei,PER,0.571051
p3494_1,1512,1519,Forcell,PER,0.57185364
p3494_1,1669,1679,Forcellini,PER,0.79775995
p3494_1,1683,1687,Nymp,PER,0.6758981
p2367_2,20,24,Nate,PER,0.679681
p2367_2,133,146,Regia Parnasi,LOC,0.7057823
p4201_5,22,26,Caro,PER,0.40266895
p4122_6,60,68,Recanati,LOC,0.9545056
p4460_6,104,110,Romani,LOC,0.81505245
p4102_5,592,600,Recanati,LOC,0.8383222
p4482_2,624,626,Or,PER,0.35270667
p4482_2,942,944,Io,PER,0.9211624
p4482_2,946,952,Drusio,PER,0.93159175
p1415_2,1107,1118,La Fontaine,PER,0.9968066
p4062_3,42,48,Lucian,PER,0.97623426
p1760_1,44,49,Rocca,LOC,0.53650665
p1760_1,574,581,Pirotta,LOC,0.4889762
p1858_1,20,29,Copernico,PER,0.97248316
p4140_3,26,27,C,PER,0.44244558
p4163_9,132,149,Augustin de Roxas,PER,0.9997295
p983_1,61,76,Corte Bizantina,LOC,0.76195973
p983_1,226,232,Montfa,LOC,0.6084917
p4153_2,15,16,V,PER,0.42409995
p1028_3,47,53,Andrès,PER,0.93227196
p981_1,354,358,Toup,PER,0.5486944
p981_1,362,368,Longin,PER,0.8729356
p981_1,675,682,Teologo,PER,0.536766
p981_1,807,812,Didym,PER,0.6329949
p981_1,819,822,##ndr,PER,0.62838924
p981_1,854,858,Bono,PER,0.46648055
p981_1,867,873,Laelii,PER,0.5604115
p981_1,876,881,Vulpe,LOC,0.6390334
p981_1,919,946,Johannis Aloysii Mingarelli,PER,0.8854134
p981_1,1792,1798,Romani,LOC,0.4577309
p3702_2,0,6,Adoleo,PER,0.7578131
p3702_2,93,99,Adoleo,PER,0.6901399
p3595_1,61,72,Gerusalemme,LOC,0.9834242
p3595_1,783,785,Er,PER,0.6562773
p3595_1,982,993,Gerusalemme,LOC,0.98566264
p3595_1,1214,1216,Er,PER,0.6310979
p3595_1,1285,1296,Gerusalemme,LOC,0.97115475
p3595_1,1351,1353,Er,PER,0.63217944
p3595_1,1440,1444,Eroe,PER,0.8452604
p3595_1,1515,1526,Gerusalemme,LOC,0.97137666
p3060_2,0,3,Por,LOC,0.5646773
p3060_2,91,96,Porgo,LOC,0.90783226
p3060_2,119,123,Fest,LOC,0.46034467
p1153_1,507,512,Force,PER,0.4010697
p1153_1,519,523,Cave,PER,0.43570828
p1980_1,393,394,V,PER,0.69296646
p4478_1,28,31,Dei,PER,0.7301123
p206_3,84,86,La,LOC,0.4129546
p206_3,164,166,Is,PER,0.82051194
p206_3,181,183,La,LOC,0.5442726
p206_3,193,197,Pole,PER,0.3946065
p9_2,1447,1453,Horace,PER,0.92353046
p9_2,1628,1635,Classic,PER,0.32736593
p4010_4,163,166,App,PER,0.7461705
p4010_4,379,383,Crus,LOC,0.48185432
p3761_2,235,236,V,PER,0.69795907
p3761_2,238,245,Forcell,PER,0.5690996
p2987_1,215,230,Bastian Borrego,PER,0.99819535
p329_1,1177,1179,Al,LOC,0.3669384
p2825_2,559,568,Mustoxidi,PER,0.937494
p2825_2,1248,1249,G,LOC,0.34122953
p3960_2,99,109,D. Quijote,PER,0.86208236
p3058_1,249,257,Varsavia,LOC,0.99356467
p44_1,239,241,Ci,PER,0.8345278
p942_1,191,193,Ta,PER,0.5122938
p942_1,194,199,Tsing,PER,0.33669856
p942_1,200,203,Leu,PER,0.33909008
p942_1,204,207,Lee,PER,0.3199037
p942_1,347,354,Rèmusat,PER,0.8243202
p942_1,1563,1567,Abel,PER,0.9516879
p942_1,1568,1575,Rèmusat,PER,0.8112812
p942_1,1793,1796,Dot,PER,0.5999748
p4183_2,194,198,Casa,PER,0.34247962
p4183_2,205,212,Athenae,LOC,0.48013803
p4183_2,234,241,Addenda,LOC,0.4136262
p4183_2,876,880,Casa,PER,0.3410209
p4041_6,185,188,Sen,PER,0.74757427
p4519_3,592,601,Pontedera,PER,0.6082584
p4519_3,871,872,T,LOC,0.3046914
p3797_1,1459,1470,meridionale,LOC,0.5667083
p4180_1,31,39,Casaubon,PER,0.9651351
p4180_1,53,59,Athena,PER,0.4702715
p4007_6,42,46,Scap,PER,0.40409932
p4228_4,126,133,Tassoni,PER,0.9399377
p324_5,571,580,Massillon,LOC,0.34226787
p324_5,673,677,Colo,PER,0.43586314
p324_5,764,772,Fabricio,PER,0.9625397
p3984_1,37,38,V,PER,0.6932198
p3984_1,40,44,Forc,PER,0.49623346
p2360_1,38,43,Julus,PER,0.73507696
p2360_1,85,89,Dido,PER,0.93343484
p2360_1,516,520,Come,PER,0.3112169
p1346_2,350,355,Aegle,LOC,0.76458293
p4110_4,156,161,Force,PER,0.38644868
p4467_2,29,32,Ana,PER,0.40142393
p4467_2,328,335,Anabasi,LOC,0.40436628
p4151_8,40,42,##ll,PER,0.47649392
p2865_1,78,83,Floro,LOC,0.87987745
p2865_1,440,441,C,LOC,0.48186687
p2865_1,474,475,G,LOC,0.50298995
p3624_2,222,226,Fuam,LOC,0.5782651
p4473_8,52,54,ap,PER,0.5612493
p4473_8,56,61,Orell,PER,0.78878367
p993_1,1290,1296,Cesena,LOC,0.93142915
p993_1,1321,1324,Cav,PER,0.49532872
p993_1,1379,1386,Scozzes,LOC,0.66112226
p993_1,1534,1537,Cav,PER,0.51432586
p993_1,1645,1650,Bardi,LOC,0.5074214
p993_1,1732,1738,Romani,LOC,0.58236617
p4018_7,885,892,Esichio,PER,0.9745693
p2028_1,76,96,Staël De l'Allemagne,PER,0.9020714
p3071_1,127,129,Co,LOC,0.44213742
p3071_1,143,146,Cic,LOC,0.637727
p3071_1,249,253,Rich,PER,0.37964976
p1847_1,1099,1103,Nord,LOC,0.62426656
p1366_1,571,579,Frullone,PER,0.5393097
p601_2,5,9,Cato,PER,0.8686605
p601_2,22,25,Sen,PER,0.7025543
p4239_2,59,63,Crus,LOC,0.57124645
p4239_2,81,88,Forcell,PER,0.6299442
p3986_1,447,450,Ver,PER,0.6882093
p3986_1,527,530,Mem,PER,0.7126359
p510_1,112,119,Raudium,PER,0.68870074
p3967_1,65,76,Hippocrates,PER,0.9494683
p4101_5,73,79,Donato,LOC,0.80478215
p4101_5,83,89,Terent,LOC,0.6994525
p4101_5,129,131,Da,PER,0.68745595
p4101_5,148,150,Da,PER,0.67290217
p4101_5,230,235,Lucia,PER,0.7860479
p4101_5,284,285,G,LOC,0.5805667
p4426_1,341,343,Fi,PER,0.42156357
p966_2,93,100,Europea,LOC,0.76357484
p4101_2,44,50,Giugno,LOC,0.47567466
p453_2,299,302,Dei,PER,0.673877
p453_2,538,541,Dei,PER,0.6350356
p1848_1,372,376,Arab,LOC,0.5250086
p1848_1,383,390,Italian,LOC,0.48500496
p1848_1,460,465,Sirac,PER,0.958387
p1848_1,899,901,Af,LOC,0.51989245
p1848_1,1175,1181,Chiesa,LOC,0.33852765
p4200_5,209,213,Cioè,PER,0.6840804
p4160_10,435,440,Tasso,PER,0.9262247
p3835_1,195,208,Re di Prussia,PER,0.6853121
p4046_4,108,111,Pol,PER,0.4935337
p4144_4,229,236,Atenies,LOC,0.76428974
p4144_4,318,324,Eunuch,PER,0.5562253
p4144_4,336,338,Au,PER,0.598255
p4144_4,362,385,Visconti Museo Pio Clem,LOC,0.8223344
p4144_4,433,438,Negro,PER,0.87150496
p4144_4,554,575,Simposio di Senofonte,LOC,0.6309872
p4165_4,167,168,I,PER,0.6087814
p4170_2,41,55,Monti Proposta,LOC,0.9744318
p4170_2,60,67,Restare,LOC,0.95585847
p3896_1,99,101,Ve,PER,0.613951
p3896_1,104,106,##ri,PER,0.40029395
p3896_1,121,124,Ari,PER,0.8471004
p3896_1,203,209,Aristo,PER,0.7730431
p3704_1,302,306,Cret,PER,0.30613533
p4125_4,10,18,Antigono,LOC,0.78416157
p2442_1,114,124,Forcellini,LOC,0.53414077
p86_1,64,69,Niobé,PER,0.9105914
p13_1,348,351,Ato,PER,0.9129269
p13_1,357,363,Rodope,PER,0.8933521
p13_1,443,447,Capo,PER,0.7720259
p13_1,495,498,Dio,PER,0.875882
p13_1,903,905,Ol,PER,0.59619683
p13_1,1087,1092,Greco,PER,0.5767722
p13_1,1139,1142,Dio,PER,0.90876955
p2199_1,528,531,Mus,PER,0.49653587
p2199_1,535,537,Mu,PER,0.4484141
p2199_1,542,544,Mu,PER,0.4639094
p2199_1,601,604,Mus,PER,0.6019718
p2199_1,652,654,Mu,PER,0.5850058
p4352_3,76,85,Termopoli,LOC,0.9691077
p2009_1,878,884,Lucrez,PER,0.65393674
p4245_8,49,56,Lessici,PER,0.4999879
p2699_1,960,963,Per,PER,0.30550298
p3137_2,149,153,Eroe,PER,0.75075024
p3137_2,409,413,Eroe,PER,0.85177195
p3137_2,434,441,Dottori,PER,0.4720847
p1176_2,654,659,Suida,PER,0.94232774
p1176_2,1338,1340,Sp,PER,0.40768182
p3357_3,4,8,Medi,PER,0.4429178
p3357_3,435,437,Sc,PER,0.426258
p4241_2,0,11,Spruzzolare,LOC,0.5692263
p4241_2,13,27,Avvolticchiare,LOC,0.5754357
p4241_2,29,42,Svolticchiare,LOC,0.6225389
p4241_2,44,53,Magalotti,LOC,0.5602083
p2495_1,176,180,Pero,PER,0.7174367
p2495_1,679,680,G,LOC,0.6107405
p1140_1,299,305,Priamo,LOC,0.9765085
p1140_1,400,402,Te,PER,0.5576137
p2624_2,70,79,Pontedera,PER,0.7576375
p2624_2,150,153,Pat,PER,0.5687892
p2624_2,171,178,Seminar,LOC,0.34345958
p2624_2,242,243,B,PER,0.39863914
p472_1,40,48,Caesaris,PER,0.8837216
p472_1,348,353,Velle,PER,0.50702447
p4494_1,893,895,Lo,PER,0.49866894
p4226_1,28,31,Fra,PER,0.5411618
p4226_1,154,159,Basil,PER,0.65415156
p4226_1,178,194,Mannuccii Adagia,PER,0.60386115
p1078_1,1036,1040,Enea,LOC,0.9545269
p3400_1,372,379,Svedese,LOC,0.7385454
p3400_1,1017,1024,Svedese,LOC,0.52233535
p3400_1,1026,1030,Dane,LOC,0.42416635
p3400_1,1089,1097,Alemagna,PER,0.43985566
p4405_1,174,186,Argentoraten,LOC,0.70769596
p4405_1,218,220,Sc,PER,0.5477029
p3420_2,193,194,P,PER,0.56935203
p3420_2,252,254,Fa,PER,0.6230744
p3420_2,269,272,Pla,PER,0.35616797
p3420_2,457,462,Plato,PER,0.9199431
p3420_2,467,469,Ci,PER,0.40726462
p3420_2,475,478,Ora,PER,0.42009214
p4379_1,161,167,Wolfio,PER,0.9559828
p4379_1,316,319,Oct,PER,0.49277735
p4379_1,377,382,Tisam,PER,0.6760267
p4379_1,481,484,Dor,PER,0.62172467
p4379_1,799,806,Doriesi,PER,0.6417793
p4379_1,841,846,Greco,PER,0.34439656
p120_1,986,987,V,PER,0.6807565
p4414_3,454,457,Bat,PER,0.38525862
p28_3,157,164,Alcaici,PER,0.7590842
p28_3,167,176,Simonidei,PER,0.76169825
p28_3,196,202,Eroici,PER,0.58612615
p28_3,205,211,Morali,PER,0.6340112
p28_3,252,257,Chiab,LOC,0.56896925
p2368_1,88,93,Force,PER,0.39205506
p4015_2,48,54,Crusca,LOC,0.77948165
p4015_2,231,236,Force,PER,0.7493056
p4015_2,261,267,Erratu,PER,0.55920684
p4015_2,334,339,Force,PER,0.6843372
p4015_2,411,414,For,LOC,0.39449686
p3023_1,56,57,G,PER,0.5187476
p3023_1,571,577,Venanz,PER,0.889627
p3023_1,579,585,Fortun,PER,0.6287544
p3023_1,656,663,Forcell,PER,0.565463
p3023_1,670,671,G,PER,0.64698964
p3125_1,52,54,Er,PER,0.55395156
p3125_1,706,712,Romani,LOC,0.62521434
p3125_1,770,776,Romani,LOC,0.6801344
p3125_1,847,853,Romani,LOC,0.68857896
p3125_1,1060,1062,Lu,PER,0.6565336
p3125_1,1065,1067,##de,PER,0.48269358
p3125_1,1211,1213,En,PER,0.69431907
p3125_1,1216,1218,##de,PER,0.4448053
p3125_1,1261,1263,Er,PER,0.7462143
p3125_1,1562,1573,Gerusalemme,LOC,0.784883
p3125_1,1901,1909,Goffredo,PER,0.9511797
p1021_2,346,353,Toscano,LOC,0.7657256
p1138_2,52,54,Et,LOC,0.3230719
p3057_2,127,133,Osbech,PER,0.68763703
p107_4,183,190,Moretum,LOC,0.9626092
p107_4,283,289,Fabric,PER,0.74351776
p3625_1,99,104,Force,PER,0.3677767
p3625_1,1376,1381,Force,PER,0.25173303
p4120_15,31,36,Lucia,PER,0.47382757
p465_1,52,58,Antoni,PER,0.61217374
p465_1,109,117,Caesaris,PER,0.69086885
p465_1,165,175,Brundisium,LOC,0.90168095
p465_1,210,220,Brundisium,LOC,0.906853
p465_1,316,325,Brundisii,LOC,0.8768439
p465_1,412,420,Brindisi,LOC,0.97130466
p465_1,494,502,Burmanno,PER,0.5478516
p465_1,522,524,Lu,LOC,0.3239909
p465_1,543,546,Sam,PER,0.6492013
p465_1,548,553,Lucht,PER,0.41188064
p465_1,583,591,Brundisi,LOC,0.4724169
p3053_1,260,261,V,PER,0.88396215
p3053_1,263,270,Forcell,PER,0.86418927
p4499_6,24,26,Ci,PER,0.34921908
p270_3,679,687,D'Argens,PER,0.8497102
p2264_1,230,234,Casa,PER,0.31930754
p62_3,376,383,Persian,LOC,0.6280102
p62_3,620,627,Persian,LOC,0.4310299
p62_3,651,659,Macedone,LOC,0.7496293
p62_3,989,997,Macedone,LOC,0.5383803
p15_1,75,78,Lod,PER,0.47654212
p15_1,83,88,Breme,PER,0.61893195
p15_1,1323,1330,Delille,PER,0.6699159
p15_1,1335,1347,SaintPierre,PER,0.41704983
p15_1,1701,1706,Breme,PER,0.86844516
p15_1,1738,1745,Chateau,PER,0.7211659
p4227_6,483,484,N,PER,0.41371408
p4227_6,488,491,Her,LOC,0.7736241
p4227_6,493,497,##ogen,LOC,0.4081409
p4227_6,552,556,Mani,PER,0.4737865
p8_3,1708,1710,Be,LOC,0.37347105
p8_3,1721,1723,Ne,LOC,0.37463483
p1659_1,338,344,Empire,LOC,0.52176994
p1659_1,514,521,Wieland,LOC,0.8644208
p1659_1,1064,1073,Perticari,PER,0.7802334
p4216_1,1470,1474,Caro,PER,0.5984938
p2674_2,132,141,Apollonio,PER,0.8569081
p4397_1,225,229,Poet,PER,0.47342455
p4397_1,399,402,Vir,PER,0.51882553
p4397_1,491,494,Due,PER,0.51552033
p4397_1,628,633,Roman,PER,0.33868867
p4167_9,169,177,Principi,LOC,0.6481096
p2453_1,1034,1041,Corinne,PER,0.5708666
p4010_5,1273,1282,Perizonio,PER,0.8891545
p4010_5,1566,1569,Fed,PER,0.7107593
p4048_1,170,174,Ioni,LOC,0.8450197
p4048_1,180,184,Dori,LOC,0.7649626
p4048_1,210,212,Sc,PER,0.7559607
p4048_1,268,275,Lessico,PER,0.60694
p3390_1,27,36,Spagnuoli,LOC,0.42118138
p3390_1,454,457,Dat,PER,0.5334469
p3390_1,476,477,C,LOC,0.56064516
p3390_1,787,789,Be,LOC,0.43793646
p3390_1,799,802,Ora,LOC,0.45779085
p3390_1,825,829,Caro,PER,0.7852664
p1518_1,500,506,Romana,LOC,0.41723594
p4309_2,333,334,S,PER,0.45568502
p4248_2,165,169,Casa,PER,0.6025094
p4248_2,176,183,Athenae,PER,0.5020126
p3687_1,438,444,Crusca,LOC,0.586793
p1790_1,100,110,Napoletano,PER,0.8049486
p3135_1,499,505,Romani,LOC,0.6305976
p3135_1,732,738,Romani,LOC,0.8119926
p3135_1,1140,1142,Er,PER,0.7193875
p4301_3,140,149,Lascerian,PER,0.7312272
p4301_3,232,237,Acciò,PER,0.594012
p1054_2,144,150,Sulzer,PER,0.8434044
p1054_2,322,323,V,PER,0.8929505
p4281_3,97,116,Giovanni Leunclavio,PER,0.9961668
p4281_3,227,237,Leunclavii,PER,0.7209015
p4281_3,238,248,Jus Graeco,PER,0.5871328
p4281_3,251,258,Romanum,PER,0.39158252
p2247_1,139,148,Nauclerus,PER,0.69076973
p1150_3,723,725,Ci,PER,0.61718714
p4148_1,99,108,Perticari,LOC,0.8855812
p4148_1,145,148,Cal,LOC,0.46650505
p1338_2,493,495,Re,PER,0.4424222
p1012_1,106,112,Bonamy,PER,0.9497635
p1012_1,518,524,Andrès,PER,0.86815095
p2996_1,770,771,A,PER,0.3933899
p2996_1,787,790,Abs,PER,0.41610348
p2996_1,822,829,Vellico,PER,0.7641899
p2996_1,833,836,For,PER,0.30215403
p2796_2,57,68,Castiglione,LOC,0.58884954
p24_3,41,50,Chiabrera,LOC,0.7520619
p24_3,67,76,Pindarico,LOC,0.5101181
p24_3,123,130,Omerica,PER,0.5353489
p24_3,209,217,Filicaja,LOC,0.5144642
p24_3,320,327,Longino,PER,0.96789277
p24_3,1286,1291,Guisa,PER,0.7704188
p3642_1,823,839,D. Ant. de Solìs,PER,0.9816843
p1270_2,403,405,Fe,LOC,0.5356383
p1270_2,416,420,Sama,LOC,0.5875639
p1270_2,442,447,Greco,LOC,0.44354084
p1270_2,475,477,Et,LOC,0.58584607
p1270_2,498,501,Cop,LOC,0.53760386
p1270_2,555,557,Me,LOC,0.42716974
p1270_2,570,573,Got,LOC,0.38774773
p1270_2,815,818,Sir,PER,0.7015765
p1270_2,928,935,Persian,LOC,0.4120021
p1270_2,945,951,Indian,LOC,0.45546645
p1270_2,958,964,Romani,LOC,0.495412
p1270_2,970,971,G,LOC,0.44319284
p1270_2,982,985,Got,LOC,0.41562834
p1270_2,1003,1004,E,LOC,0.5295759
p1270_2,1007,1008,##i,LOC,0.505592
p1270_2,1011,1017,Etiopi,LOC,0.5603492
p1270_2,1043,1044,E,LOC,0.43650073
p1270_2,1054,1058,Arab,LOC,0.4570871
p1270_2,1065,1068,Ass,LOC,0.5921067
p1270_2,1071,1072,##i,LOC,0.45743093
p1270_2,1093,1100,Persian,LOC,0.41057637
p1270_2,1131,1136,Siria,LOC,0.5767647
p1270_2,1164,1173,Abissinii,LOC,0.53370833
p4158_8,237,243,Strabo,PER,0.97186583
p4158_8,436,440,Casa,PER,0.4392291
p4158_8,466,469,Cos,PER,0.48923278
p4158_8,485,491,Lemnus,PER,0.8251764
p4158_8,514,520,Homero,PER,0.95245886
p4158_8,537,548,Archilochus,PER,0.92710376
p4158_8,600,607,Eustath,PER,0.812588
p4158_8,789,809,Aristides de Neptuno,PER,0.927817
p4158_8,827,838,Jebbii Oxon,PER,0.9069521
p4158_8,916,923,Aeschyl,PER,0.64035493
p4158_8,972,974,Si,PER,0.59625673
p4158_8,976,983,Propert,PER,0.5907596
p4158_8,1051,1067,Praxitelem Paria,PER,0.83841854
p4158_8,1095,1100,Liebe,PER,0.46269897
p2202_2,14,23,Forcellin,LOC,0.4449826
p2202_2,378,382,Vale,PER,0.83099705
p2202_2,418,425,Valerii,PER,0.8032328
p4302_3,152,155,Mar,LOC,0.27360138
p4147_3,96,100,Cara,PER,0.51532537
p1789_1,418,420,Pa,PER,0.5521219
p1789_1,439,447,Angelica,PER,0.7120186
p2991_1,205,208,Mai,PER,0.5468659
p2991_1,211,213,Ci,PER,0.3183295
p2991_1,294,296,Ve,PER,0.41490835
p2991_1,305,310,Force,LOC,0.23959357
p2991_1,317,318,S,LOC,0.46486697
p2991_1,323,324,R,PER,0.3199606
p2991_1,332,335,Qua,PER,0.3977021
p2991_1,500,501,S,LOC,0.42642245
p4240_1,305,312,Ipomone,PER,0.71394175
p3964_3,89,92,Ion,LOC,0.26776382
p3709_1,240,243,For,PER,0.29351926
p3709_1,618,622,Vive,LOC,0.33195174
p4114_1,47,48,V,PER,0.86424035
p4114_1,50,54,Scap,PER,0.7766267
p4241_3,1286,1287,E,PER,0.4484024
p4148_4,76,78,Di,LOC,0.5924292
p4148_4,84,92,Richelet,LOC,0.86005396
p4148_4,108,115,Trévoux,LOC,0.97944915
p3486_2,730,731,R,PER,0.5300006
p3486_2,819,822,Dei,PER,0.45454952
p208_1,485,491,Thomas,PER,0.948455
p4190_8,57,67,Aristophan,PER,0.86946845
p4190_8,154,159,Lutet,PER,0.87006325
p4190_8,167,173,Morell,PER,0.6904237
p2307_1,177,182,Force,PER,0.6732255
p2307_1,355,360,Force,PER,0.67532766
p1120_1,189,191,Au,PER,0.55893326
